Group,Instance,Items,Capacity,Total Value,Total Weight,Packed Items,Is Optimal,Solve Time (s),Status
04AlmostStronglyCorrelated,s000.kp,2000,498452,638771,498200,1405,False,180.0150,TIME_LIMIT
04AlmostStronglyCorrelated,s001.kp,2000,497847,638075,497546,1405,False,180.0046,TIME_LIMIT
04AlmostStronglyCorrelated,s000.kp,5000,1249257,1599762,1249043,3506,False,180.0093,TIME_LIMIT
04AlmostStronglyCorrelated,s001.kp,5000,1240984,1593407,1240984,3524,False,180.0035,TIME_LIMIT
05SubsetSum,s000.kp,50,14239,14239,14239,24,True,0.0000,OPTIMAL
05SubsetSum,s001.kp,50,11793,11793,11793,23,True,0.0000,OPTIMAL
05SubsetSum,s000.kp,100,29017,29017,29017,49,True,0.0000,OPTIMAL
05SubsetSum,s001.kp,100,25391,25391,25391,50,True,0.0000,OPTIMAL
05SubsetSum,s000.kp,200,51563,51563,51563,88,True,0.0010,OPTIMAL
05SubsetSum,s001.kp,200,48106,48106,48106,94,True,0.0000,OPTIMAL
05SubsetSum,s000.kp,500,127278,127278,127278,242,True,0.0000,OPTIMAL
05SubsetSum,s001.kp,500,123764,123764,123764,246,True,0.0010,OPTIMAL
05SubsetSum,s000.kp,1000,245972,245972,245972,477,True,0.0068,OPTIMAL
05SubsetSum,s001.kp,1000,254777,254777,254777,510,True,0.0009,OPTIMAL
05SubsetSum,s000.kp,2000,498452,498452,498452,998,True,0.0048,OPTIMAL
05SubsetSum,s001.kp,2000,497847,497847,497847,968,True,0.0000,OPTIMAL
05SubsetSum,s000.kp,5000,1249257,1249257,1249257,2485,True,0.0094,OPTIMAL
05SubsetSum,s001.kp,5000,1240984,1240984,1240984,2466,True,0.0030,OPTIMAL
06UncorrelatedWithSimilarWeights,s000.kp,50,2476727,19676,2401482,24,True,0.1493,OPTIMAL
06UncorrelatedWithSimilarWeights,s001.kp,50,2476607,17920,2401186,24,True,0.0424,OPTIMAL
06UncorrelatedWithSimilarWeights,s000.kp,100,4952745,39791,4902253,49,True,20.1171,OPTIMAL
